block,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49
1840860.0,191823600.51829073,29261591.90173398,19691805.455563407,15302529.132885406,11949179.694527427,11932226.738355257,11016772.369486041,11153398.884579215,8964433.321450837,8545025.023348251,8601566.415946458,8568407.626116753,8077107.086406322,7415212.24490107,6420202.955036491,6300560.08025297,6196107.225903142,5730618.846294196,5617481.630426333,5487420.590682673,5238480.050497543,5638949.158216022,5582669.145210449,5482105.321855488,5361101.311315275,5075953.008875241,4809177.880488194,4833361.996623771,4750662.739029359,4615429.806054115,4383727.0494793,4160707.45230223,4203554.102528924,3882380.025669903,3816723.611709783,3716486.8210448874,3673398.30818618,3627704.115311884,3551566.8134617936,3432272.7143082693,3292701.22879597,3096392.503383469,3208676.1115587745,3048493.405059469,2858756.5081857685,2893518.4208801105,2691966.5043567065,2621129.1804437614,2429761.170729247,2455670.049427563
1893456.0,191880612.20780572,29268913.99644565,19702278.163579237,15307073.865006974,11952623.623766199,11938937.883632662,11015166.640948705,11156622.197819205,8964099.164652156,8541727.740118898,8600640.705263078,8569038.103221748,8075860.498092519,7413367.552308099,6417194.355408484,6295497.827734141,6192805.806950444,5725059.977474634,5613479.321435022,5483047.206054464,5233823.95785096,5647964.531853862,5592026.326827516,5490856.172824997,5370164.710490397,5082906.501554878,4815739.698587382,4841811.024382934,4758820.846758871,4623341.666272495,4390099.463383693,4161685.2204260738,4210141.751232262,3889069.891208152,3823034.0477542994,3722253.807347474,3679092.6944112056,3633611.7471987936,3556782.9818261317,3437560.826664609,3296305.248519419,3096987.3100654837,3214473.746215659,3052773.438890328,2861819.2644099663,2897885.8808419392,2695814.203028589,2625237.4014210016,2432301.0309663033,2459316.71044331
1946052.0,191937856.9011062,29276309.394988693,19712837.8402365,15311683.822488677,11956125.918370688,11945720.060740357,11013603.076681847,11159903.730030186,8963810.776977398,8538466.086246368,8599757.495994011,8569713.926519511,8074655.48384572,7411561.962662864,6414215.698631111,6290463.92085816,6189532.923152562,5719527.286019248,5609502.105529373,5478697.197976932,5229192.62200778,5657020.559732824,5601427.323920859,5499646.5509427795,5379270.761615787,5089891.197215228,4822331.085668852,4850300.569199217,4767017.751132661,4631291.223008226,4396501.5637366045,4162667.896195228,4216759.391165078,3895792.33216862,3829374.891005255,3728047.3249374265,3684813.3058390627,3639547.901482955,3562025.2621337776,3442873.451358603,3299925.866305145,3097585.774539908,3220302.9878949192,3057074.154825428,2864896.4434011644,2902276.1854005205,2699681.9962975197,2629367.781328722,2434853.643630497,2462981.150393033
1998648.0,191995334.85289627,29283778.189544555,19723484.634962663,15316359.107554076,11959686.65972433,11952573.39430172,11012081.725754734,11163243.56694381,8963568.216618674,8535240.097568845,8598916.83277595,8570435.143413195,8073492.088219933,7409795.513810488,6411266.9819628,6285458.377195002,6186288.566916518,5714020.783086841,5605549.96256996,5474370.540902695,5224586.022880766,5666117.359338886,5610872.273140677,5508476.570437759,5388419.598441286,5096907.182146272,4828952.123503758,4858830.761516731,4775253.574299533,4639278.594946358,4402933.438414819,4163655.4853557018,4223407.107326318,3902547.453427356,3835746.2368148537,3733867.449007765,3690560.2167952894,3645512.6671191533,3567293.7416595016,3448210.65786126,3303563.1241804017,3098187.9010894084,3226163.962367447,3061395.614087227,2867988.081678687,2906689.41516816,2703569.9529411276,2633520.40213765,2437419.0438934383,2466663.420655771
2051244.0,192053046.31816998,29291320.472538497,19734218.697715186,15321099.822824176,11963305.929613434,11959498.009556035,11010602.637478586,11166641.794719117,8963371.542091671,8532049.810152752,8598118.760520363,8571201.801677903,8072370.356052193,7408068.2438600315,6408348.202850346,6280481.214508379,6183072.730823817,5708540.4800128415,5601622.872554137,5470067.209406425,5220004.140424924,5675255.048484771,5620361.311531876,5517346.34585637,5397611.355102623,5103954.542874611,4835602.89408761,4867401.732158343,4783528.4387542745,4647303.901108205,4409395.175548683,4164647.9936591946,4230084.984949287,3909335.3601650647,3842148.180810428,3739714.254958832,3696333.5018103872,3651506.133319023,3572588.5079645743,3453572.515835253,3307217.0642812527,3098793.694000891,3232056.795876032,3065737.8780748183,2871094.2158563486,2911125.6510366336,2707478.141969954,2637695.346115938,2439997.267025923,2470363.5727533964
2103840.0,192110991.5522146,29298936.33664047,19745040.17898304,15325906.071317816,11966983.81022745,11966494.032360151,11009165.861407783,11170098.499943206,8963220.812236546,8528895.26029376,8597363.32441777,8572013.949462086,8071290.332463418,7406380.19118627,6405459.35892962,6275532.450756768,6179885.407631268,5703086.388310623,5597720.815616924,5465787.178185626,5215446.954636635,5684433.745310438,5629894.576534388,5526255.992063189,5406846.1661218,5111033.366163769,4842283.479640466,4876013.612326229,4791842.467337955,4655367.260851505,4415886.863522397,4165645.4268631777,4236793.10950198,3916156.157867384,3848580.8188948045,3745587.8183986484,3702133.23562009,3657528.389551318,3577909.6488972893,3458959.0951350015,3310887.7288527493,3099403.157565499,3237981.615136282,3070101.0083641335,2874214.882642606,2915584.9741777605,2711406.632628253,2641892.695829903,2442588.348398031,2474081.658350957
2156436.0,192169170.81060648,29306625.874765474,19755949.22978757,15330777.956453534,11970720.384161098,11973561.589189675,11007771.4473404,11173613.769632798,8963116.08621889,8525776.484517837,8596650.569937272,8572871.63528851,8070252.062859484,7404731.394430567,6402600.4480257975,6270612.104094286,6176726.590272049,5697658.519670993,5593843.772031763,5461530.422061625,5210914.44555503,5693653.568284094,5639472.205983849,5535205.624241703,5416124.166407976,5118143.739014617,4848993.962607189,4884666.533602341,4800195.783238353,4663468.793870957,4422408.590974473,4166647.7907308214,4243531.566687637,3923009.9523252035,3855044.2472466687,3751488.215143203,3707959.4931656756,3663579.525542333,3583257.252593657,3464370.465807141,3314575.1602488523,3100016.296078685,3243938.5473377053,3074485.066708363,2877350.118840732,2920067.466044144,2715355.4943942833,2646112.534144608,2445192.323479956,2477817.7292566607
2209032.0,192227584.34921968,29314389.180074528,19766946.001684267,15335715.582051303,11974515.734415296,11980700.807141872,11006419.445319025,11177187.691235444,8963057.423531197,8522693.51958223,8595980.542827751,8573774.908055542,8069255.592932127,7403121.892501899,6399771.46815578,6265720.192871808,6173596.271856425,5692256.885965251,5589991.722211641,5457296.915980208,5206406.593262043,5702914.6362005705,5649094.33811182,5544195.357894195,5425445.491257727,5125285.748665727,4855734.425657997,4893360.627948496,4808588.50999029,4671608.6201984,4428960.44679838,4167655.09103109,4250300.442444795,3929896.849635068,3861538.5623208308,3757415.5212167357,3713812.349594353,3669659.631276298,3588631.4074778,3469806.6980907116,3318279.4009330426,3100633.113840174,3249927.720144189,3078890.115038156,2880499.9613490603,2924573.208369669,2719324.7969808313,2650354.9442246147,2447809.2278412166,2481571.837422662
2261628.0,192286232.4242215,29322226.34597432,19778030.64676359,15340719.052329538,11978369.944398018,11987911.813935371,11005109.905631997,11180820.35263094,8963044.883993339,8519646.402475957,8595353.289119309,8574723.81703839,8068300.968660062,7401551.724577591,6396972.417527924,6260856.735637748,6170494.445671904,5686881.499244629,5586164.646709561,5453086.6350126015,5201923.377882922,5712217.068185032,5658761.111546652,5553225.308842784,5434810.276355545,5132459.482593784,4862504.951688647,4902096.02770781,4817020.771476119,4679786.860203276,4435542.520142523,4168667.333538624,4257099.8229477,3936816.95619951,3868063.8608489484,3763369.812851999,3719691.880259481,3675768.7969954126,3594032.2022626433,3475267.8624174516,3322000.493478217,3101253.6151540303,3255949.261695574,3083316.215461991,2883664.447160977,2929102.2831701282,2723314.6103357803,2654620.0095346416,2450439.0971515025,2485344.034944481
2314224.0,192345115.29207245,29330137.466119204,19789203.317652505,15345788.471912326,11982283.09792544,11995194.737913262,11003842.878813703,11184511.842131466,8963078.527754331,8516635.170421163,8594768.855123585,8575718.411890196,8067388.236309814,7400020.930104622,6394203.29454342,6256021.7511388855,6167421.105187565,5681532.37174178,5582362.526219788,5448899.554356239,5197464.779586757,5721560.9836913,5668472.665313854,5562295.593229498,5444218.657774375,5139665.028514023,4869305.623820975,4910872.865603901,4825492.691926034,4688003.634592887,4442154.900411053,4169684.524033966,4263929.7946069,3943770.3787275394,3874620.2398393857,3769351.1664908486,3725598.1607208564,3681907.113200723,3599459.7259504264,3480754.0294121006,3325738.480566938,3101877.8043285822,3262003.3006081623,3087763.4302663,2886843.6133651864,2933654.7727437755,2727325.0046426733,2658907.81384014,2453081.9671807,2489134.3740617214
