block,inflation,stakingRatio,bondedAmount,totalSupply
4418064.0,0.12259080925793159,0.6,548651706.6817496,1081086177.8028126
4470660.0,0.12285348088543527,0.6,549315412.1272303,1082192353.5452857
4523256.0,0.12311599954909096,0.6,549981219.0290322,1083302031.7149565
4575852.0,0.12337836507906177,0.6,550649131.6276026,1084415219.3792427
4628448.0,0.12364057730654465,0.6,551319154.1780981,1085531923.630031
4681044.0,0.12390263606377627,0.6,551991290.9503938,1086652151.5838535
4733640.0,0.12416454118400921,0.6,552665546.2291677,1087775910.3818023
4786236.0,0.12442629250154603,0.6,553341924.3139036,1088903207.1896968
4838832.0,0.12468788985171615,0.6,554020429.5189557,1090034049.1981144
4891428.0,0.12494933307088174,0.6,554701066.1735595,1091168443.6224477
4944024.0,0.1252106219964367,0.6,555383838.6218874,1092306397.7030194
4996620.0,0.12547175646680556,0.6,556068751.2230808,1093447918.7050226
5049216.0,0.1257327363214447,0.6,556755808.3513138,1094593013.9187427
5101812.0,0.12599356140084128,0.6,557445014.3957869,1095741690.6595347
5154408.0,0.1262542315465112,0.6,558136373.7608094,1096893956.2678914
5207004.0,0.1265147466010014,0.6,558829890.8658022,1098049818.1095421
5259600.0,0.1267751064078877,0.6,559525570.1453658,1099209283.575488
5312196.0,0.12703531081177388,0.6,560223416.0493209,1100372360.0820692
5364792.0,0.12729535965829397,0.6,560923433.0427096,1101539055.0710459
5417388.0,0.12755525279410773,0.6,561625625.6058857,1102709376.0096314
5469984.0,0.12781499006690258,0.6,562329998.2345313,1103883330.3907075
5522580.0,0.12807457132539318,0.6,563036555.439688,1105060925.7326393
5575176.0,0.1283339964193205,0.6,563745301.7478145,1106242169.5795279
5627772.0,0.1285932651994515,0.6,564456241.7008238,1107427069.5012093
5680368.0,0.12885237751757628,0.6,565169379.856112,1108615633.0933535
5732964.0,0.12911133322651094,0.6,565884720.7866204,1109807867.9775329
5785560.0,0.12937013218009633,0.6,566602269.0808464,1111003781.8012464
5838156.0,0.12962877423319577,0.6,567322029.3429192,1112203382.2380366
5890752.0,0.12988725924169456,0.6,568044006.192619,1113406676.987537
