block,inflation,stakingRatio,annualProvision,blockProvision
3786912.0,0.11942688178109112,0.6,127557780.81077595,20.210310798472626
3839508.0,0.11969137535071558,0.6,127967715.90175667,20.275261094277873
3892104.0,0.119955718075291,0.6,128378462.95271538,20.340340037378535
3944700.0,0.12021990977255097,0.6,128790024.81167504,20.40554807901663
3997296.0,0.12048395026126675,0.6,129202404.33391526,20.470885671583908
4049892.0,0.12074783936124521,0.6,129615604.3819962,20.536353268625657
4102488.0,0.12101157689333121,0.6,130029627.82579017,20.601951324845704
4155084.0,0.12127516267940486,0.6,130444477.54250918,20.66768029611079
4207680.0,0.12153859654238282,0.6,130860156.41672915,20.733540639454386
4260276.0,0.12180187830621855,0.6,131276667.34042208,20.799532813081807
4312872.0,0.12206500779589972,0.6,131694013.2129802,20.865657276374026
4365468.0,0.1223279848374512,0.6,132112196.9412484,20.931914489892833
4418064.0,0.12259080925793159,0.6,132531221.43954849,20.998304915384644
4470660.0,0.12285348088543527,0.6,132951089.62970869,21.064829015785214
4523256.0,0.12311599954909096,0.6,133371804.44109207,21.13148725522411
4575852.0,0.12337836507906177,0.6,133793368.81062675,21.19828009902951
4628448.0,0.12364057730654465,0.6,134215785.68282811,21.265208013731733
4681044.0,0.12390263606377627,0.6,134639058.009848,21.332271467071006
4733640.0,0.12416454118400921,0.6,135063188.7514597,21.399470927995107
4786236.0,0.12442629250154603,0.6,135488180.8751365,21.466806866671813
4838832.0,0.12468788985171615,0.6,135914037.35605207,21.534279754488946
4891428.0,0.12494933307088174,0.6,136340761.17711532,21.601890064059898
4944024.0,0.1252106219964367,0.6,136768355.3290047,21.669638269229075
4996620.0,0.12547175646680556,0.6,137196822.81018147,21.737524845074002
5049216.0,0.1257327363214447,0.6,137626166.6269399,21.805550267913258
5101812.0,0.12599356140084128,0.6,138056389.79342526,21.873715015309347
5154408.0,0.1262542315465112,0.6,138487495.33166143,21.94201956607306
5207004.0,0.1265147466010014,0.6,138919486.27158788,22.01046440026933
5259600.0,0.1267751064078877,0.6,139352365.6510833,22.079049999220995
5312196.0,0.12703531081177388,0.6,139786136.5159949,22.147776845513427
5364792.0,0.12729535965829397,0.6,140220801.92017335,22.21664542300006
5417388.0,0.12755525279410773,0.6,140656364.92549348,22.285656216805695
5469984.0,0.12781499006690258,0.6,141092828.6019062,22.3548097133347
5522580.0,0.12807457132539318,0.6,141530196.02743638,22.424106400270677
5575176.0,0.1283339964193205,0.6,141968470.288236,22.49354676658491
5627772.0,0.1285932651994515,0.6,142407654.4786061,22.563131302539816
5680368.0,0.12885237751757628,0.6,142847751.70102844,22.63286049969396
5732964.0,0.12911133322651094,0.6,143288765.06619957,22.70273485090748
5785560.0,0.12937013218009633,0.6,143730697.69305533,22.77275485034593
5838156.0,0.12962877423319577,0.6,144173552.70880535,22.842920993485777
5890752.0,0.12988725924169456,0.6,144617333.24896133,22.913233777118876
5943348.0,0.1301455870625011,0.6,145062042.45736966,22.983693699357627
5995944.0,0.13040375755354625,0.6,145507683.4862441,23.05430125964017
